job_title_unified,job_posted_date,vacancy_count
Business Analyst,2023-01-01,182
Business Analyst,2023-01-08,1060
Business Analyst,2023-01-15,1119
Business Analyst,2023-01-22,1156
Business Analyst,2023-01-29,1047
Business Analyst,2023-02-05,982
Business Analyst,2023-02-12,880
Business Analyst,2023-02-19,869
Business Analyst,2023-02-26,766
Business Analyst,2023-03-05,911
Business Analyst,2023-03-12,806
Business Analyst,2023-03-19,682
Business Analyst,2023-03-26,661
Business Analyst,2023-04-02,785
Business Analyst,2023-04-09,959
Business Analyst,2023-04-16,1011
Business Analyst,2023-04-23,1112
Business Analyst,2023-04-30,979
Business Analyst,2023-05-07,686
Business Analyst,2023-05-14,714
Business Analyst,2023-05-21,343
Business Analyst,2023-05-28,411
Business Analyst,2023-06-04,610
Business Analyst,2023-06-11,731
Business Analyst,2023-06-18,801
Business Analyst,2023-06-25,806
Business Analyst,2023-07-02,945
Business Analyst,2023-07-09,803
Business Analyst,2023-07-16,905
Business Analyst,2023-07-23,794
Business Analyst,2023-07-30,993
Business Analyst,2023-08-06,1018
Business Analyst,2023-08-13,1081
Business Analyst,2023-08-20,1148
Business Analyst,2023-08-27,1290
Business Analyst,2023-09-03,1311
Business Analyst,2023-09-10,1086
Business Analyst,2023-09-17,885
Business Analyst,2023-09-24,933
Business Analyst,2023-10-01,1168
Business Analyst,2023-10-08,1218
Business Analyst,2023-10-15,1214
Business Analyst,2023-10-22,1027
Business Analyst,2023-10-29,1127
Business Analyst,2023-11-05,1089
Business Analyst,2023-11-12,1101
Business Analyst,2023-11-19,1119
Business Analyst,2023-11-26,1125
Business Analyst,2023-12-03,1022
Business Analyst,2023-12-10,1062
Business Analyst,2023-12-17,969
Business Analyst,2023-12-24,918
Business Analyst,2023-12-31,643
Cloud Engineer,2023-01-01,49
Cloud Engineer,2023-01-08,293
Cloud Engineer,2023-01-15,282
Cloud Engineer,2023-01-22,309
Cloud Engineer,2023-01-29,287
Cloud Engineer,2023-02-05,273
Cloud Engineer,2023-02-12,199
Cloud Engineer,2023-02-19,232
Cloud Engineer,2023-02-26,162
Cloud Engineer,2023-03-05,282
Cloud Engineer,2023-03-12,210
Cloud Engineer,2023-03-19,136
Cloud Engineer,2023-03-26,154
Cloud Engineer,2023-04-02,220
Cloud Engineer,2023-04-09,217
Cloud Engineer,2023-04-16,261
Cloud Engineer,2023-04-23,278
Cloud Engineer,2023-04-30,228
Cloud Engineer,2023-05-07,171
Cloud Engineer,2023-05-14,128
Cloud Engineer,2023-05-21,52
Cloud Engineer,2023-05-28,88
Cloud Engineer,2023-06-04,112
Cloud Engineer,2023-06-11,141
Cloud Engineer,2023-06-18,166
Cloud Engineer,2023-06-25,161
Cloud Engineer,2023-07-02,231
Cloud Engineer,2023-07-09,231
Cloud Engineer,2023-07-16,219
Cloud Engineer,2023-07-23,218
Cloud Engineer,2023-07-30,290
Cloud Engineer,2023-08-06,312
Cloud Engineer,2023-08-13,283
Cloud Engineer,2023-08-20,310
Cloud Engineer,2023-08-27,298
Cloud Engineer,2023-09-03,327
Cloud Engineer,2023-09-10,261
Cloud Engineer,2023-09-17,190
Cloud Engineer,2023-09-24,202
Cloud Engineer,2023-10-01,310
Cloud Engineer,2023-10-08,249
Cloud Engineer,2023-10-15,302
Cloud Engineer,2023-10-22,256
Cloud Engineer,2023-10-29,279
Cloud Engineer,2023-11-05,261
Cloud Engineer,2023-11-12,295
Cloud Engineer,2023-11-19,296
Cloud Engineer,2023-11-26,324
Cloud Engineer,2023-12-03,247
Cloud Engineer,2023-12-10,317
Cloud Engineer,2023-12-17,254
Cloud Engineer,2023-12-24,233
Cloud Engineer,2023-12-31,245
Data Analyst,2023-01-01,998
Data Analyst,2023-01-08,5931
Data Analyst,2023-01-15,6273
Data Analyst,2023-01-22,6203
Data Analyst,2023-01-29,6114
Data Analyst,2023-02-05,5408
Data Analyst,2023-02-12,5100
Data Analyst,2023-02-19,4718
Data Analyst,2023-02-26,4463
Data Analyst,2023-03-05,4466
Data Analyst,2023-03-12,4225
Data Analyst,2023-03-19,4050
Data Analyst,2023-03-26,4162
Data Analyst,2023-04-02,4085
Data Analyst,2023-04-09,3714
Data Analyst,2023-04-16,4099
Data Analyst,2023-04-23,4449
Data Analyst,2023-04-30,4656
Data Analyst,2023-05-07,4355
Data Analyst,2023-05-14,4139
Data Analyst,2023-05-21,1992
Data Analyst,2023-05-28,3034
Data Analyst,2023-06-04,3944
Data Analyst,2023-06-11,4154
Data Analyst,2023-06-18,4234
Data Analyst,2023-06-25,4342
Data Analyst,2023-07-02,4387
Data Analyst,2023-07-09,4012
Data Analyst,2023-07-16,4335
Data Analyst,2023-07-23,4300
Data Analyst,2023-07-30,4427
Data Analyst,2023-08-06,4389
Data Analyst,2023-08-13,4146
Data Analyst,2023-08-20,4792
Data Analyst,2023-08-27,5441
Data Analyst,2023-09-03,5569
Data Analyst,2023-09-10,4133
Data Analyst,2023-09-17,3403
Data Analyst,2023-09-24,3668
Data Analyst,2023-10-01,4124
Data Analyst,2023-10-08,4355
Data Analyst,2023-10-15,4338
Data Analyst,2023-10-22,4226
Data Analyst,2023-10-29,4168
Data Analyst,2023-11-05,3779
Data Analyst,2023-11-12,4053
Data Analyst,2023-11-19,4025
Data Analyst,2023-11-26,4245
Data Analyst,2023-12-03,3655
Data Analyst,2023-12-10,4091
Data Analyst,2023-12-17,4146
Data Analyst,2023-12-24,3558
Data Analyst,2023-12-31,2218
Data Engineer,2023-01-01,1145
Data Engineer,2023-01-08,5764
Data Engineer,2023-01-15,6059
Data Engineer,2023-01-22,5776
Data Engineer,2023-01-29,5850
Data Engineer,2023-02-05,5617
