field_of_study,gpa,python,java,c_cpp,sql,machine_learning,data_analysis,cloud_computing,cybersecurity,web_development,devops,networking,communication,leadership,problem_solving,teamwork,adaptability,tech_total,soft_total,tech_soft_ratio,ds_score,da_score,da_score_v2,ba_score,mle_score,de_score,se_score,ce_score,is_data_engineer,is_data_analyst,is_software_dev,is_cloud_expert,is_heavy_ml,is_data_expert,dev_vs_data,ml_vs_dev,analytics_no_infra,infra_no_analytics,da_vs_ds
AI,3.88,1,0,0,0,1,1,0,0,0,0,0,1,4,5,4,4,3,18,0.15789473684210525,4,3,6,10,3,1,1,-1,0,0,0,0,1,0,-1,1,1,-1,0
Cybersecurity,3.89,0,0,1,1,0,0,1,1,1,0,1,4,2,1,3,4,6,14,0.4,1,6,8,11,1,7,5,5,0,0,1,0,0,0,1,-1,0,2,0
Computer Science,2.89,1,0,1,1,0,1,0,1,1,1,0,1,4,2,5,1,7,13,0.5,3,5,8,7,2,6,5,3,0,1,0,0,0,1,0,-1,1,0,1
Data Science,4.0,1,0,0,1,1,0,0,0,0,0,1,3,3,3,3,2,4,14,0.26666666666666666,4,5,8,10,3,5,2,1,0,0,0,0,1,0,-1,1,1,1,-1
Computer Science,3.26,0,0,0,0,1,0,1,1,1,1,1,5,4,3,2,3,6,17,0.3333333333333333,2,5,5,15,4,6,3,6,0,0,1,1,0,0,1,0,-2,3,-1
Computer Science,2.95,0,0,0,1,0,1,0,0,0,0,0,3,1,4,4,2,2,14,0.13333333333333333,2,7,10,12,0,3,1,0,0,1,0,0,0,1,-2,0,2,-1,1
Data Science,3.38,1,0,0,1,1,1,0,0,0,0,0,4,2,4,3,2,4,15,0.25,5,8,11,13,3,3,1,-1,0,0,0,0,1,1,-2,1,2,-1,0
Cybersecurity,3.02,0,1,1,0,1,0,0,1,1,1,1,4,3,3,3,3,7,16,0.4117647058823529,2,4,5,12,3,4,6,4,0,0,1,0,0,0,3,-1,-1,2,-1
Computer Science,2.97,0,0,0,1,1,0,1,1,0,1,1,3,5,1,4,3,6,16,0.35294117647058826,3,5,5,10,4,8,1,6,1,0,0,1,0,0,-1,1,-1,3,-1
Data Science,4.0,1,1,0,1,1,1,0,0,0,0,0,3,2,5,3,2,5,15,0.3125,5,7,10,12,3,3,3,-1,0,0,0,0,1,1,-1,0,2,-1,0
AI,2.86,0,1,1,0,0,0,0,0,0,1,1,5,3,4,2,1,4,15,0.25,0,5,7,16,1,5,5,4,0,0,1,0,0,0,2,-1,-1,2,0
Computer Science,3.93,1,0,1,1,0,0,1,1,0,1,0,4,1,5,3,4,6,17,0.3333333333333333,2,6,8,12,3,9,4,6,1,0,0,1,0,0,0,0,-1,2,0
Software Engineering,3.68,1,1,1,1,0,1,0,1,0,0,0,4,2,4,5,1,6,16,0.35294117647058826,3,8,12,14,1,4,5,1,0,1,0,0,0,1,0,-1,2,-1,1
