Model,Hyperparameters,Accuracy,F1_Macro,F1_Weighted,Precision_Macro,Recall_Macro,F1_Business Analyst,F1_Cloud Engineer,F1_Data Analyst,F1_Data Engineer,F1_Data Scientist,F1_Machine Learning Engineer,F1_Software Engineer
Logistic Regression,"{'C': 5.573588038563766, 'class_weight': None, 'penalty': 'l2', 'max_iter': 5503}",0.8191,0.7811,0.8164,0.7884,0.7763,0.8235,0.7544,0.7241,0.6549,0.7458,0.8163,0.9486
Random Forest,"{'n_estimators': 426, 'max_depth': 19, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.0035632426370124036, 'max_features': None, 'max_samples': 0.7479008403099672, 'criterion': 'entropy', 'class_weight': None}",0.805,0.7518,0.7904,0.7777,0.7455,0.869,0.6733,0.6838,0.4421,0.7833,0.902,0.9091
Logistic Regression (4th Class),"{'C': 59.33004933277491, 'penalty': 'l2', 'max_iter': 5201, 'class_weight': 2.722974277403197}",0.7996,0.7617,0.8015,0.7897,0.7565,0.8395,0.7059,0.6792,0.6289,0.75,0.7801,0.948
Random Forest (4th Class),"{'n_estimators': 458, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 6, 'min_impurity_decrease': 0.0027831809892556046, 'max_features': 'sqrt', 'max_samples': 0.7049663833045149, 'criterion': 'entropy', 'class_weight': 2.9755185477759714}",0.7677,0.7189,0.7576,0.7637,0.7065,0.8171,0.5455,0.6981,0.5039,0.7387,0.8462,0.883
CatBoost,"{'bootstrap_type': 'MVS', 'iterations': 1555, 'depth': 4, 'learning_rate': 0.05129318555854544, 'l2_leaf_reg': 9.172591720533022, 'border_count': 118, 'random_strength': 8.129906768406762e-08, 'colsample_bylevel': 0.2774704071001988, 'auto_class_weights': 'SqrtBalanced', 'subsample': 0.5803198418429936, 'grow_policy': 'SymmetricTree', 'real_iterations': 3000}",0.8298,0.7945,0.8291,0.7993,0.7912,0.8727,0.7119,0.708,0.6129,0.8235,0.8873,0.9452
CatBoost,"{'bootstrap_type': 'MVS', 'iterations': 1555, 'depth': 4, 'learning_rate': 0.05129318555854544, 'l2_leaf_reg': 9.172591720533022, 'border_count': 118, 'random_strength': 8.129906768406762e-08, 'colsample_bylevel': 0.2774704071001988, 'auto_class_weights': 'SqrtBalanced', 'subsample': 0.5803198418429936, 'grow_policy': 'SymmetricTree'}",0.8351,0.7986,0.8335,0.8029,0.7953,0.878,0.7059,0.7478,0.6102,0.8099,0.8873,0.9513
CatBoost (selected features),"{'bootstrap_type': 'MVS', 'iterations': 544, 'depth': 4, 'learning_rate': 0.05160491286026419, 'l2_leaf_reg': 0.0004794530974227421, 'border_count': 91, 'random_strength': 8.837047653086184e-08, 'colsample_bylevel': 0.8620674403758884, 'auto_class_weights': None, 'subsample': 0.5847249378886586, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 40}",0.8387,0.8024,0.8346,0.8135,0.7949,0.881,0.7091,0.7257,0.6496,0.8136,0.8966,0.9412
CatBoost (processed dataset),"{'bootstrap_type': 'Bernoulli', 'iterations': 503, 'depth': 4, 'learning_rate': 0.029389913946684096, 'l2_leaf_reg': 3.3009818475938475e-05, 'border_count': 70, 'random_strength': 5.6269077057556e-07, 'colsample_bylevel': 0.5244573201523294, 'auto_class_weights': 'SqrtBalanced', 'subsample': 0.8321419225053766, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 49}",0.844,0.8094,0.8413,0.814,0.8067,0.8862,0.7541,0.7241,0.625,0.8376,0.8904,0.9483
CatBoost (processed dataset) (4th class),"{'bootstrap_type': 'Bernoulli', 'iterations': 1102, 'depth': 2, 'learning_rate': 0.02584938631493266, 'l2_leaf_reg': 0.01282713396533031, 'border_count': 144, 'random_strength': 0.0002887639856564457, 'colsample_bylevel': 0.20384815769097636, 'auto_class_weights': 'Balanced', 'subsample': 0.3897592045546666, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 16}",0.8333,0.8048,0.8339,0.8029,0.8106,0.8727,0.7407,0.7288,0.6372,0.8333,0.8904,0.9305
CatBoost (selected features) (4th class),"{'bootstrap_type': 'MVS', 'iterations': 1914, 'depth': 2, 'learning_rate': 0.0805658834326008, 'l2_leaf_reg': 1.2708093384168884, 'border_count': 151, 'random_strength': 4.7371733677213825e-07, 'colsample_bylevel': 0.5053657534772799, 'auto_class_weights': 'Balanced', 'subsample': 0.9671531225825128, 'grow_policy': 'SymmetricTree'}",0.8333,0.8034,0.8339,0.8026,0.8045,0.8642,0.7642,0.7179,0.623,0.8333,0.8828,0.9381
